conflict_id,location,year_beg,start_date,year_end,date_end,incompatibility,territory_name
345,South Africa,1981,1978-02-01,1988,1988-12-31,2,
347,India,1982,1979-04-26,2009,2009-12-28,1,Manipur
348,Kenya,1982,1982-08-01,1982,1982-08-21,2,
351,India,1983,1981-09-20,1993,1993-12-24,1,Punjab/Khalistan
352,Sri Lanka,1984,1975-07-27,2009,2009-07-04,1,Eelam
353,Cameroon,1960,1960-01-31,2023,,2,
354,Turkey,1984,1983-05-01,2023,,1,Kurdistan
357,Suriname,1987,1986-08-21,1987,1987-12-31,2,
358,Togo,1986,1986-09-23,2023,,2,
359,South Yemen,1986,1986-01-13,1986,1986-01-20,2,
360,Burkina Faso,1987,1987-10-15,2023,,2,
362,Comoros,1989,1989-11-27,1989,1989-11-29,2,
363,Ethiopia,1975,1975-06-30,1996,1996-12-31,1,Afar
364,India,1990,1984-02-06,2023,,1,Kashmir
365,India,1990,1983-12-31,2010,2010-10-16,1,Assam
366,Indonesia,1990,1989-05-02,2005,2005-10-12,1,Aceh
367,Panama,1989,1989-10-03,1989,1989-10-03,2,
369,Papua New Guinea,1990,1989-04-06,1996,1996-11-28,1,Bougainville
370,Romania,1989,1989-12-17,1989,1989-12-29,2,
372,Mali,1990,1990-06-28,2015,2015-05-18,1,Azawad
373,Niger,1994,1994-01-19,1994,1994-09-26,1,Air and Azawad
374,Rwanda,1990,1990-10-01,2023,,2,
375,Senegal,1990,1988-12-31,2011,2011-12-30,1,Casamance
376,Russia (Soviet Union),1990,1990-01-19,1991,1991-12-21,1,Nagorno-Karabakh
377,Russia (Soviet Union),1990,1990-01-20,1990,1990-01-27,1,Azerbaijan
378,Trinidad and Tobago,1990,1990-07-27,1990,1990-08-02,2,
379,Djibouti,1991,1991-11-12,1999,1999-08-31,2,
380,Georgia,1991,1991-12-22,1993,1993-11-16,2,
381,Haiti,1989,1989-04-03,2004,2004-11-19,2,
382,Sierra Leone,1991,1991-03-23,2001,2001-12-20,2,
383,Turkey,1991,1987-12-31,2016,2016-12-17,2,
384,Serbia (Yugoslavia),1991,1991-06-27,1991,1991-07-03,1,Slovenia
385,Serbia (Yugoslavia),1991,1991-07-09,1992,1992-04-06,1,Croatia
386,Algeria,1991,1985-08-27,2020,2020-12-02,2,
387,Angola,1991,1989-08-04,2022,2022-12-31,1,Cabinda
388,Azerbaijan,1991,1991-12-29,2023,,1,Artsakh (Nagorno-Karabakh)
389,Bosnia-Herzegovina,1992,1992-04-05,1995,1995-12-14,1,Serb
390,Croatia,1992,1992-04-23,1995,1995-09-13,1,Serb
391,Egypt,1993,1981-10-08,2019,2019-09-24,2,
392,Georgia,1992,1992-08-14,1993,1993-11-29,1,Abkhazia
